item_name2,month,year,price,increase
"Beans, dried  
Units: $ per LB",1,2020,1.432,0
"Beans, dried  
Units: $ per LB",2,2020,1.461,1
"Beans, dried  
Units: $ per LB",3,2020,1.488,1
"Beans, dried  
Units: $ per LB",6,2020,1.422,0
"Beans, dried  
Units: $ per LB",7,2020,1.415,0
"Beans, dried  
Units: $ per LB",8,2020,1.445,1
"Beans, dried  
Units: $ per LB",9,2020,1.424,0
"Beans, dried  
Units: $ per LB",10,2020,1.41,0
"Beans, dried  
Units: $ per LB",11,2020,1.391,0
"Beans, dried  
Units: $ per LB",12,2020,1.404,1
"Beans, dried  
Units: $ per LB",1,2021,1.433,1
"Beans, dried  
Units: $ per LB",2,2021,1.448,1
"Beans, dried  
Units: $ per LB",3,2021,1.459,1
"Beans, dried  
Units: $ per LB",4,2021,1.457,0
"Beans, dried  
Units: $ per LB",5,2021,1.42,0
"Beans, dried  
Units: $ per LB",6,2021,1.421,1
"Beans, dried  
Units: $ per LB",7,2021,1.426,1
"Beans, dried  
Units: $ per LB",8,2021,1.429,1
"Beans, dried  
Units: $ per LB",9,2021,1.445,1
"Beans, dried  
Units: $ per LB",10,2021,1.46,1
"Beans, dried  
Units: $ per LB",11,2021,1.474,1
"Beans, dried  
Units: $ per LB",12,2021,1.504,1
"Beans, dried  
Units: $ per LB",1,2022,1.509,1
